Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_521.jpg;0;0;0;0;99.66999;85.58897;0.0002402023;45.25523;-4.941142E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_591.jpg;0;0;0;0;99.66999;85.58897;0.0002408188;45.25523;2.814134E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_670.jpg;0;0;0;0;99.66999;85.58897;0.0002414208;45.25523;1.200611E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_735.jpg;0;0;0;0;99.66999;85.58897;0.0002419935;45.25523;1.818536E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_803.jpg;0;0;0;0;99.66999;85.58897;0.0002424617;45.25523;2.489867E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_873.jpg;0;0;0;0;99.66999;85.58897;0.000242442;45.25523;2.887213E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_947.jpg;0;0;0;0;99.66999;85.58897;0.0002423061;45.25523;3.256697E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_010.jpg;0;0;0;0;99.66999;85.58897;0.0002420712;45.25523;3.425914E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_080.jpg;0;0;0;0;99.66999;85.58897;0.0002417028;45.25523;3.543468E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_150.jpg;0;0;0;0;99.66999;85.58897;0.0002413458;45.25523;3.546085E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_221.jpg;0;0;0;0;99.66999;85.58897;0.0002407622;45.25523;3.435509E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_289.jpg;0;0;0;0;99.66999;85.58897;0.0002402831;45.25523;3.271527E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_360.jpg;0;0;0;0;99.66999;85.58897;0.0002399547;45.25523;2.986802E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_433.jpg;0;0;0;0;99.66999;85.58897;0.0002396844;45.25523;2.716005E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_504.jpg;0;0;0;0;99.66999;85.58897;0.0002390279;45.25523;2.34276E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_569.jpg;0;0;0;0;99.66999;85.58897;0.0002388389;45.25523;2.052226E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_639.jpg;0;0;0;0;99.66999;85.58897;0.0002387425;45.25523;1.627018E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_709.jpg;0;0;0;0;99.66999;85.58897;0.0002386985;45.25523;1.273211E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_779.jpg;0;0;0;0;99.66999;85.58897;0.0002382277;45.25523;8.26819E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_849.jpg;0;0;0;0;99.66999;85.58897;0.0002379805;45.25523;5.223547E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_918.jpg;0;0;0;0;99.66999;85.58897;0.0002375795;45.25523;1.711638E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_43_988.jpg;0;0;0;0;99.66999;85.58897;0.0002375443;45.25523;-7.264228E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_059.jpg;0;0;0;0;99.66999;85.58897;0.0002372769;45.25523;-3.721718E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_127.jpg;0;0;0;0;99.66999;85.58897;0.0002370154;45.25523;-5.329643E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_198.jpg;0;0;0;0;99.66999;85.58897;0.0002367743;45.25523;-6.986904E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_270.jpg;0;0;0;0;99.66999;85.58897;0.0002362691;45.25523;-8.002695E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_342.jpg;0;0;0;0;99.66999;85.58897;0.0002354853;45.25523;-8.902358E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_408.jpg;0;0;0;0;99.66999;85.58897;0.0002353838;45.25523;-8.655636E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_478.jpg;0;0;0;0;99.66999;85.58897;0.0002353577;45.25523;-8.031597E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_546.jpg;0;0;0;0;99.66999;85.58897;0.0002352359;45.25523;-7.735526E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_617.jpg;0;0;0;0;99.66999;85.58897;0.0002355088;45.25523;-7.276982E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_687.jpg;0;0;0;0;99.66999;85.58897;0.0002356424;45.25523;-6.760361E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_757.jpg;0;0;0;0;99.66999;85.58897;0.0002357528;45.25523;-5.907057E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_827.jpg;0;0;0;0;99.66999;85.58897;0.0002359619;45.25523;-5.013126E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_896.jpg;0;0;0;0;99.66999;85.58897;0.0002360723;45.25523;-4.159828E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_44_970.jpg;0;0;0;0;99.66999;85.58897;0.000236203;45.25523;-3.355865E-06
